Input Term,Best Match,URI,
#III,occurrent,http://purl.obolibrary.org/obo/BFO_0000003,
#II-III,meiosis II,http://purl.obolibrary.org/obo/GO_0007135,
#II. III.,meiosis II,http://purl.obolibrary.org/obo/GO_0007135,
#I. II. III.,meiosis II,http://purl.obolibrary.org/obo/GO_0007135,
#imago,phagocyte,http://purl.obolibrary.org/obo/CL_0000234,
immature,immature,http://purl.obolibrary.org/obo/PATO_0001501,
Immature,immature,http://purl.obolibrary.org/obo/PATO_0001501,
#juv.,vacuole,http://purl.obolibrary.org/obo/GO_0005773,
adults,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,
Juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,
juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
juveniles,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,
larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,
Larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,
larvae,larval,http://purl.obolibrary.org/obo/PATO_0001185,
Larvae,larval,http://purl.obolibrary.org/obo/PATO_0001185,
#larvae and adults,larval development,http://purl.obolibrary.org/obo/GO_0002164,
#larvae; eggs,larval development,http://purl.obolibrary.org/obo/GO_0002164,
larval,larval,http://purl.obolibrary.org/obo/PATO_0001185,
Larval,larval,http://purl.obolibrary.org/obo/PATO_0001185,
#Larval & Pupa,larval,http://purl.obolibrary.org/obo/PATO_0001185,
#larva; nymph,larva,http://purl.obolibrary.org/obo/UBERON_0002548,
#larve,lahar,http://purl.obolibrary.org/obo/ENVO_01000699,
#last instar larva,second instar larva,http://purl.obolibrary.org/obo/UBERON_0018382,
leaves,leaf,http://purl.obolibrary.org/obo/PO_0025034,
#blades,iliac blade,http://purl.obolibrary.org/obo/UBERON_0010746,
#mainly adult,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,
#mainly chick,breast feather,http://purl.obolibrary.org/obo/UBERON_0018538,
#male,male gamete,http://purl.obolibrary.org/obo/CL_0000408,
#mature,immature,http://purl.obolibrary.org/obo/PATO_0001501,
#medusae,cavum medius,http://purl.obolibrary.org/obo/UBERON_3000087,
metacercaria,metacercaria,http://purl.obolibrary.org/obo/UBERON_0018385,
Metacercariae,metacercaria,http://purl.obolibrary.org/obo/UBERON_0018385,
metacestode,metacestode,http://purl.obolibrary.org/obo/UBERON_0018379,
#microfilaria,microspore,http://purl.obolibrary.org/obo/PO_0020048,
#Microfilaria,microspore,http://purl.obolibrary.org/obo/PO_0020048,
#microfilariae,microsporangium,http://purl.obolibrary.org/obo/PO_0025202,
#Mixed,mixed forest,http://purl.obolibrary.org/obo/ENVO_01000431,
#n1,digit 1,http://purl.obolibrary.org/obo/UBERON_0006048,
#n2,digit 2,http://purl.obolibrary.org/obo/UBERON_0006049,
#n3,digit 3,http://purl.obolibrary.org/obo/UBERON_0006050,
#n4,digit 4,http://purl.obolibrary.org/obo/UBERON_0006051,
#n5,digit 5,http://purl.obolibrary.org/obo/UBERON_0006052,
#n6,digit 6,http://purl.obolibrary.org/obo/UBERON_0016856,
#naiad,fishpond,http://purl.obolibrary.org/obo/ENVO_00000056,
#n.a.,N-acylammonia,http://purl.obolibrary.org/obo/CHEBI_83628,
#others,mine,http://purl.obolibrary.org/obo/ENVO_00000076,
#NEO,Neoptera,http://purl.obolibrary.org/obo/NCBITaxon_33340,
#Nestling,nest of bird,http://purl.obolibrary.org/obo/ENVO_00005805,
nymph,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,
Nymph,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,
nymphs,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,
#oocyst,oocyte,http://purl.obolibrary.org/obo/CL_0000023,
#other,opposite,http://purl.obolibrary.org/obo/PATO_0001933,
#ovigerous,oviduct,http://purl.obolibrary.org/obo/UBERON_0000993,
#P,seep,http://purl.obolibrary.org/obo/ENVO_01000262,
#paralarva,Paramo,http://purl.obolibrary.org/obo/ENVO_01001360,
juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,
#parthenitae,Euteleostomi,http://purl.obolibrary.org/obo/NCBITaxon_117571,
#Parthinitae,subparietal sulcus,http://purl.obolibrary.org/obo/UBERON_0002908,
#plerocercoid,plerome,http://purl.obolibrary.org/obo/PO_0008035,
#POSTLARVA,posthypocrista,http://purl.obolibrary.org/obo/UBERON_0018292,
#protonymph,proton,http://purl.obolibrary.org/obo/CHEBI_24636,
#protozoan stage,plant proembryo stage,http://purl.obolibrary.org/obo/PO_0001180,
pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,
Pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,
pupae,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,
pupal case,pupal case,http://purl.obolibrary.org/obo/UBERON_0018657,
Pupal Case,pupal case,http://purl.obolibrary.org/obo/UBERON_0018657,
#recruits,military training area,http://purl.obolibrary.org/obo/ENVO_00000561,
#juv.,vacuole,http://purl.obolibrary.org/obo/GO_0005773,
reproductive,reproductive process,http://purl.obolibrary.org/obo/GO_0022414,
Seedling,seedling,http://purl.obolibrary.org/obo/PO_0008037,
#Senescing,nerve,http://purl.obolibrary.org/obo/UBERON_0001021,
#stage 1,death stage,http://purl.obolibrary.org/obo/UBERON_0000071,
#stage III,death stage,http://purl.obolibrary.org/obo/UBERON_0000071,
#statoblasts,statocyst,http://purl.obolibrary.org/obo/UBERON_0006583,
#subadult,subpolar,http://purl.obolibrary.org/obo/ENVO_01000251,
#Teleutospores,Teleostomi,http://purl.obolibrary.org/obo/NCBITaxon_117570,
#Telomorph,Teleostei,http://purl.obolibrary.org/obo/NCBITaxon_32443,
#tetrathyridia,Tetradontoidea,http://purl.obolibrary.org/obo/NCBITaxon_32517,
#tetrathyridium,Tetradontoidea,http://purl.obolibrary.org/obo/NCBITaxon_32517,
#Tritonymph,otolymph,http://purl.obolibrary.org/obo/UBERON_0006586,
#Type coll.,columnar,http://purl.obolibrary.org/obo/PATO_0002063,
#unspecified,obsolete unspecified,http://purl.obolibrary.org/obo/UBERON_0006336,
#Unspecified,obsolete unspecified,http://purl.obolibrary.org/obo/UBERON_0006336,
Vegetative,vegetative bud,http://purl.obolibrary.org/obo/PO_0000058,
#VELIGER,velamen,http://purl.obolibrary.org/obo/PO_0006042,
young,young,http://purl.obolibrary.org/obo/PATO_0000309,
young of year,young,http://purl.obolibrary.org/obo/PATO_0000309,
