2 guts
abdominal cavity
abo
abo1
abomasum
abomasum/si
abo, sm intestine
allantoic fluid
antenna
antennal glands
bark
bile duct
bile duct, pancreas
bile ducts
bladder
blood
body
body cavity
body surface
brain
branchial arteries
bursa
caeca, intestine
caecum
caecum/large intestine
caecum (or cecum)
ceca
cecae
cecum
cerebrospinal fluid
cervical ligament
cloaca
coelom
coelom cyst
coelomic cavity
colon
connective tissue-neck
connective tissue-stomach
diaphragm muscles
digestive gland
dorsal colon
dorsal mesenteries
dorsal skeletal muscle
duodenum
ear, inner
encapsulated under body skin
esophagus
esophagus, abdominal cavity
esophagus, stomach
esophagus, stomach, lg intes.
external
eye, or orbit
eye - periorbital sinuses
eyes, eyelids
fascia of thigh
feces
feces-in intestine
front limb (growth)
gall bladder
gallbladder
gall bladder, liver
gastric polyp
gastrointestinal tract
gill
gill cavity
gill filament
gill(s)
gills
gi tract
gizzard
gullet
gut
gut washings
heart
heart - aortic bulb
heart muscle
hindgut
hind quarter- near knee
intestine
intestine, stomach
jejunum, ileum
kidney
kidney, sm intestine
large intestine
left opercular cavity
lg intestine
liver
liver (embedded)
liver/lungs
lung
lung(s)
lungs
mantle cavity
meninges
mesenteries
mesentery
mesentery, body cavity
mouth
muscle
muscles
musculature
nares
nasal cavities
nasal fossae
omentum
oronasopharynx
ovary
peritoneum cysts
plant leaf
pleural wash, lungs
posterior intestine
proventriculus
pyloric cacae (encysted)
pyloric ceca
rectum
redia in gonads
Relay # 70, Panel F
renal,iliac,kidney veins
right cranial sinus
rumen
rumen, omasum, reticulum
saliva, oronasopharynx
sinus(es)
skeletal muscle
skin
small intestine
small intestine, abo
sm intestine
spiral intestine
spiral valve
spleen
spleen, liver
stifle region
stomach
stomach #1
stomach, intestine
stomach, rectum
stomach wall (cysts)
stomach wall (encysted)
subcutaneous
subcutaneous tissue
swim bladder
throat
tissue
trachea
trachea, bronchi
trunk
unattached
urinary bladder
urine
vena cava
ventral colon
ventriculus
visceral ligaments
