?structure_inchikey	?wd_chem	?source_wdx	?sourceName
"DCSCXTJOXBUFGB-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q421151>	<http://www.wikidata.org/entity/Q162822>	"Eucalyptus camaldulensis"^^<http://www.w3.org/2001/XMLSchema#string>
"DCSCXTJOXBUFGB-YUMQZZPRSA-N"	<http://www.wikidata.org/entity/Q104253227>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"DCYOADKBABEMIQ-OWMUPTOHSA-N"	<http://www.wikidata.org/entity/Q6948223>	<http://www.wikidata.org/entity/Q33482>	"Platycladus orientalis"^^<http://www.w3.org/2001/XMLSchema#string>
"DCZDUZNVOVFUCD-HTXNQAPBSA-N"	<http://www.wikidata.org/entity/Q27124233>	<http://www.wikidata.org/entity/Q33482>	"Platycladus orientalis"^^<http://www.w3.org/2001/XMLSchema#string>
"DCZDUZNVOVFUCD-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q104976157>	<http://www.wikidata.org/entity/Q33482>	"Platycladus orientalis"^^<http://www.w3.org/2001/XMLSchema#string>
"DDYVXKLAJBJNHL-DYWRSEPTSA-N"	<http://www.wikidata.org/entity/Q104977004>	<http://www.wikidata.org/entity/Q15388741>	"Ceriops decandra"^^<http://www.w3.org/2001/XMLSchema#string>
"DFDLSTQZQLKKOB-KQYSUTHUSA-N"	<http://www.wikidata.org/entity/Q27106504>	<http://www.wikidata.org/entity/Q15432960>	"Erythrophleum lasianthum"^^<http://www.w3.org/2001/XMLSchema#string>
"DGNOPGIIPQKNHD-GVIZVCPESA-N"	<http://www.wikidata.org/entity/Q104978924>	<http://www.wikidata.org/entity/Q3274110>	"Nageia nagi"^^<http://www.w3.org/2001/XMLSchema#string>
"DGNOPGIIPQKNHD-OXSBDFPOSA-N"	<http://www.wikidata.org/entity/Q104392358>	<http://www.wikidata.org/entity/Q3274110>	"Nageia nagi"^^<http://www.w3.org/2001/XMLSchema#string>
"DGNOPGIIPQKNHD-RSKPZANQSA-N"	<http://www.wikidata.org/entity/Q76005848>	<http://www.wikidata.org/entity/Q3274110>	"Nageia nagi"^^<http://www.w3.org/2001/XMLSchema#string>
"DGNOPGIIPQKNHD-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q104978930>	<http://www.wikidata.org/entity/Q3274110>	"Nageia nagi"^^<http://www.w3.org/2001/XMLSchema#string>
"DGNOPGIIPQKNHD-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q104978930>	<http://www.wikidata.org/entity/Q823016>	"Podocarpus nubigenus"^^<http://www.w3.org/2001/XMLSchema#string>
"DHLPMLVSBRRUGA-RXMQYKEDSA-N"	<http://www.wikidata.org/entity/Q4641539>	<http://www.wikidata.org/entity/Q3266951>	"Handroanthus impetiginosus"^^<http://www.w3.org/2001/XMLSchema#string>
"DHLPMLVSBRRUGA-YFKPBYRVSA-N"	<http://www.wikidata.org/entity/Q104980351>	<http://www.wikidata.org/entity/Q3266951>	"Handroanthus impetiginosus"^^<http://www.w3.org/2001/XMLSchema#string>
"DIFWJJFSELKWGA-IPQOMUISSA-N"	<http://www.wikidata.org/entity/Q27293894>	<http://www.wikidata.org/entity/Q909828>	"Shorea robusta"^^<http://www.w3.org/2001/XMLSchema#string>
"DINLEWSRQRXQCK-RRPMUHDTSA-N"	<http://www.wikidata.org/entity/Q104981512>	<http://www.wikidata.org/entity/Q5834163>	"Entandrophragma angolense"^^<http://www.w3.org/2001/XMLSchema#string>
"DIOQZVSQGTUSAI-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q150717>	<http://www.wikidata.org/entity/Q162822>	"Eucalyptus camaldulensis"^^<http://www.w3.org/2001/XMLSchema#string>
"DJDONKFPLSVJGI-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q82918679>	<http://www.wikidata.org/entity/Q261309>	"Pinus monticola"^^<http://www.w3.org/2001/XMLSchema#string>
"DJKLSYQJVKLXFN-JXOXKRRHSA-N"	<http://www.wikidata.org/entity/Q104982349>	<http://www.wikidata.org/entity/Q162822>	"Eucalyptus camaldulensis"^^<http://www.w3.org/2001/XMLSchema#string>
"DLCVFIMWFKVRTM-LBPRGKRZSA-N"	<http://www.wikidata.org/entity/Q76546307>	<http://www.wikidata.org/entity/Q83170>	"Dalbergia melanoxylon"^^<http://www.w3.org/2001/XMLSchema#string>
"DLFBGJCOHIZRGA-CMKODMSKSA-N"	<http://www.wikidata.org/entity/Q104984231>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"DLWAHHFLQNUOIA-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q104984762>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"DMVJXSFUJUHRRF-MZBWOGCUSA-N"	<http://www.wikidata.org/entity/Q104985349>	<http://www.wikidata.org/entity/Q161360>	"Chamaecyparis lawsoniana"^^<http://www.w3.org/2001/XMLSchema#string>
"DMXKXBFFJSYDLG-JAZQRGJZSA-N"	<http://www.wikidata.org/entity/Q104985372>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"DMYISGJMGRTXJW-PZJWPPBQSA-N"	<http://www.wikidata.org/entity/Q100145905>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"DNFJSIPZGYBGON-JCLAUGGVSA-N"	<http://www.wikidata.org/entity/Q104985532>	<http://www.wikidata.org/entity/Q1247582>	"Swietenia mahagoni"^^<http://www.w3.org/2001/XMLSchema#string>
"DNFJSIPZGYBGON-WDXIATPISA-N"	<http://www.wikidata.org/entity/Q104985533>	<http://www.wikidata.org/entity/Q1247582>	"Swietenia mahagoni"^^<http://www.w3.org/2001/XMLSchema#string>
"DOYKMKZYLAAOGH-DOEMEAPXSA-N"	<http://www.wikidata.org/entity/Q15426267>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"DOYKMKZYLAAOGH-DOEMEAPXSA-N"	<http://www.wikidata.org/entity/Q15426267>	<http://www.wikidata.org/entity/Q33482>	"Platycladus orientalis"^^<http://www.w3.org/2001/XMLSchema#string>
"DOYKMKZYLAAOGH-UGUQBNQJSA-N"	<http://www.wikidata.org/entity/Q104986321>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"DOYKMKZYLAAOGH-UGUQBNQJSA-N"	<http://www.wikidata.org/entity/Q104986321>	<http://www.wikidata.org/entity/Q33482>	"Platycladus orientalis"^^<http://www.w3.org/2001/XMLSchema#string>
"DOYKMKZYLAAOGH-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q104986322>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"DPAGRPSAFDXQDN-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q104986356>	<http://www.wikidata.org/entity/Q15471793>	"Lonchocarpus costaricensis"^^<http://www.w3.org/2001/XMLSchema#string>
"DPHUWDIXHNQOSY-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q27294876>	<http://www.wikidata.org/entity/Q3266951>	"Handroanthus impetiginosus"^^<http://www.w3.org/2001/XMLSchema#string>
"DQTNTDDGCXHSBH-FXAWDEMLSA-N"	<http://www.wikidata.org/entity/Q104399751>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"DRLFMBDRBRZALE-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q180912>	<http://www.wikidata.org/entity/Q36071>	"Pistacia vera"^^<http://www.w3.org/2001/XMLSchema#string>
"DRQVGVASTZKOLP-DTKQMDLBSA-N"	<http://www.wikidata.org/entity/Q125028323>	<http://www.wikidata.org/entity/Q3280527>	"Eucalyptus robusta"^^<http://www.w3.org/2001/XMLSchema#string>
"DSCFFEYYQKSRSV-AGZHHQKVSA-N"	<http://www.wikidata.org/entity/Q4946108>	<http://www.wikidata.org/entity/Q33482>	"Platycladus orientalis"^^<http://www.w3.org/2001/XMLSchema#string>
"DSSYKIVIOFKYAU-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q181559>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"DSSYKIVIOFKYAU-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q181559>	<http://www.wikidata.org/entity/Q15612952>	"Cryptocarya agathophylla"^^<http://www.w3.org/2001/XMLSchema#string>
"DSSYKIVIOFKYAU-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q181559>	<http://www.wikidata.org/entity/Q161360>	"Chamaecyparis lawsoniana"^^<http://www.w3.org/2001/XMLSchema#string>
"DSSYKIVIOFKYAU-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q181559>	<http://www.wikidata.org/entity/Q36071>	"Pistacia vera"^^<http://www.w3.org/2001/XMLSchema#string>
"DTGKSKDOIYIVQL-HHCGNCNQSA-N"	<http://www.wikidata.org/entity/Q104249589>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"DTGKSKDOIYIVQL-HHCGNCNQSA-N"	<http://www.wikidata.org/entity/Q104249589>	<http://www.wikidata.org/entity/Q15612952>	"Cryptocarya agathophylla"^^<http://www.w3.org/2001/XMLSchema#string>
"DTGKSKDOIYIVQL-HHCGNCNQSA-N"	<http://www.wikidata.org/entity/Q104249589>	<http://www.wikidata.org/entity/Q36071>	"Pistacia vera"^^<http://www.w3.org/2001/XMLSchema#string>
"DTGKSKDOIYIVQL-HHCGNCNQSA-N"	<http://www.wikidata.org/entity/Q104249589>	<http://www.wikidata.org/entity/Q482510>	"Eucalyptus grandis"^^<http://www.w3.org/2001/XMLSchema#string>
"DTGKSKDOIYIVQL-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q27103499>	<http://www.wikidata.org/entity/Q161360>	"Chamaecyparis lawsoniana"^^<http://www.w3.org/2001/XMLSchema#string>
"DTGKSKDOIYIVQL-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q27103499>	<http://www.wikidata.org/entity/Q162822>	"Eucalyptus camaldulensis"^^<http://www.w3.org/2001/XMLSchema#string>
"DTGKSKDOIYIVQL-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q27103499>	<http://www.wikidata.org/entity/Q261309>	"Pinus monticola"^^<http://www.w3.org/2001/XMLSchema#string>
"DTOSIQBPPRVQHS-IUQGRGSQSA-N"	<http://www.wikidata.org/entity/Q27286664>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"DTOSIQBPPRVQHS-IUQGRGSQSA-N"	<http://www.wikidata.org/entity/Q27286664>	<http://www.wikidata.org/entity/Q36071>	"Pistacia vera"^^<http://www.w3.org/2001/XMLSchema#string>
"DTOSIQBPPRVQHS-PDBXOOCHSA-N"	<http://www.wikidata.org/entity/Q256502>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"DTOSIQBPPRVQHS-PDBXOOCHSA-N"	<http://www.wikidata.org/entity/Q256502>	<http://www.wikidata.org/entity/Q36071>	"Pistacia vera"^^<http://www.w3.org/2001/XMLSchema#string>
"DTWMLACXVXYHJD-IPJXLRNBSA-N"	<http://www.wikidata.org/entity/Q110185280>	<http://www.wikidata.org/entity/Q1247582>	"Swietenia mahagoni"^^<http://www.w3.org/2001/XMLSchema#string>
"DUBCCGAQYVUYEU-ZUGPOPFOSA-N"	<http://www.wikidata.org/entity/Q6871627>	<http://www.wikidata.org/entity/Q162822>	"Eucalyptus camaldulensis"^^<http://www.w3.org/2001/XMLSchema#string>
"DUBCCGAQYVUYEU-ZUGPOPFOSA-N"	<http://www.wikidata.org/entity/Q6871627>	<http://www.wikidata.org/entity/Q2137116>	"Eucalyptus viminalis"^^<http://www.w3.org/2001/XMLSchema#string>
"DUCIYIHTTCVNJA-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q104667232>	<http://www.wikidata.org/entity/Q15612952>	"Cryptocarya agathophylla"^^<http://www.w3.org/2001/XMLSchema#string>
"DUCIYIHTTCVNJA-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q104667232>	<http://www.wikidata.org/entity/Q18076816>	"Leplaea cedrata"^^<http://www.w3.org/2001/XMLSchema#string>
"DUEINKIQNGZKPL-VYJAJWGXSA-N"	<http://www.wikidata.org/entity/Q27123466>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"DUMZYTYPNQNWMU-CTHBEMJXSA-N"	<http://www.wikidata.org/entity/Q104989339>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"DVASWGUNFKKFPR-LCSZQOBJSA-N"	<http://www.wikidata.org/entity/Q104989769>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"DVUXXXYVVWRAIA-UDEVJOAWSA-N"	<http://www.wikidata.org/entity/Q27124122>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"DWDOXTINEVOYSV-FFZOFVMBSA-N"	<http://www.wikidata.org/entity/Q104990492>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"DWLHCWUIQVURCE-KCACFXOTSA-N"	<http://www.wikidata.org/entity/Q104990598>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"DWUIDNXIJFWVRX-PEQLHJJVSA-N"	<http://www.wikidata.org/entity/Q104990756>	<http://www.wikidata.org/entity/Q3266951>	"Handroanthus impetiginosus"^^<http://www.w3.org/2001/XMLSchema#string>
"DXDRHHKMWQZJHT-FPYGCLRLSA-N"	<http://www.wikidata.org/entity/Q3155537>	<http://www.wikidata.org/entity/Q2385259>	"Pterocarpus marsupium"^^<http://www.w3.org/2001/XMLSchema#string>
"DXDRHHKMWQZJHT-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q27165761>	<http://www.wikidata.org/entity/Q2385259>	"Pterocarpus marsupium"^^<http://www.w3.org/2001/XMLSchema#string>
"DYJDPNXKUMPXEJ-DZLVSBGCSA-N"	<http://www.wikidata.org/entity/Q27136789>	<http://www.wikidata.org/entity/Q3274110>	"Nageia nagi"^^<http://www.w3.org/2001/XMLSchema#string>
"DYLPEFGBWGEFBB-OSFYFWSMSA-N"	<http://www.wikidata.org/entity/Q76416645>	<http://www.wikidata.org/entity/Q33482>	"Platycladus orientalis"^^<http://www.w3.org/2001/XMLSchema#string>
"DYNYPTPHUFKWRF-BYCOSLBDSA-N"	<http://www.wikidata.org/entity/Q104991470>	<http://www.wikidata.org/entity/Q15432960>	"Erythrophleum lasianthum"^^<http://www.w3.org/2001/XMLSchema#string>
"DZNVIZQPWLDQHI-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q27114304>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"FAARLWTXUUQFSN-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q104401532>	<http://www.wikidata.org/entity/Q2998198>	"Corymbia calophylla"^^<http://www.w3.org/2001/XMLSchema#string>
"FAMPSKZZVDUYOS-HRGUGZIWSA-N"	<http://www.wikidata.org/entity/Q1995108>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"FAMPSKZZVDUYOS-HRGUGZIWSA-N"	<http://www.wikidata.org/entity/Q1995108>	<http://www.wikidata.org/entity/Q15612952>	"Cryptocarya agathophylla"^^<http://www.w3.org/2001/XMLSchema#string>
