input	mapped_values
1 female, 6 juveniles	http://purl.obolibrary.org/obo/PATO_0000383,http://purl.obolibrary.org/obo/PATO_0001190
1 female, 7 juveniles	http://purl.obolibrary.org/obo/PATO_0000383,http://purl.obolibrary.org/obo/PATO_0001190
1 females	http://purl.obolibrary.org/obo/PATO_0000383
1  Hembras adulta	http://purl.obolibrary.org/obo/PATO_0000383
1 immature	http://purl.obolibrary.org/obo/PATO_0001501
1 Immature	http://purl.obolibrary.org/obo/PATO_0001501
1 juvenile	http://purl.obolibrary.org/obo/PATO_0001190
1M, 1F	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383
1M,1F	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383
1m, 1 nymph, 18 larva	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0001185,http://purl.obolibrary.org/obo/PATO_0001185
1M, 2F	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383
1M,2F	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383
1M,3F	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383
1M,3M	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000384
1M, 4F	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383
1M,4F	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383
1 Macho|2 Hembras	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383
1 macho (torete)	http://purl.obolibrary.org/obo/PATO_0000384
1 male	http://purl.obolibrary.org/obo/PATO_0000384
1 Male	http://purl.obolibrary.org/obo/PATO_0000384
1 male 1 female	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383
1 male, 1 female	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383
1 Male, 1 Female	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383
1 male, 1 female, 1 juvenile	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383,http://purl.obolibrary.org/obo/PATO_0001190
