origUnit,mapUnit
micromol/m2/s PAR,MicroMOL-PER-M2-SEC
micromol,MicroMOL
micromol mol-1,MicroMOL-PER-MOL
micro mol s-1 m-2,MicroMOL-PER-M2-SEC
micro mol s-1,MicroMOL-PER-SEC
micro mols m-2 s-1,MicroMOL-PER-M2-SEC
micro mol/s,MicroMOL-PER-SEC
micro S cm-1,MicroS-PER-CentiM
micro S/cm,MicroS-PER-CentiM
min,MIN
ml,MilliL
m,M
m,M
mm2,MilliM2
mm^2,MilliM2
mm a-1,MilliM-PER-YR
mm m-1,MilliM-PER-M
(mm),MilliM
mm,MilliM
mm ?,MilliM
mmol/g,MilliMOL-PER-GM
mmol/kg,MilliMOL-PER-KiloGM
mmol/l,MilliMOL-PER-L
mmol mol-1,MilliMOL-PER-MOL
mm/year,MilliM-PER-YR
mm/y,MilliM-PER-YR
mm / yr,MilliM-PER-YR
mm/yr,MilliM-PER-YR
mol m-2 d-1,MOL-PER-M2-DAY
molm-2d-1,MOL-PER-M2-DAY
mol m-2 day-1,MOL-PER-M2-DAY
mol/m2/day,MOL-PER-M2-DAY
mol m-2 s-1,MOL-PER-M2-SEC
mol m-2s-1,MOL-PER-M2-SEC
mol/m3,MOL-PER-M3
mol photon m-2,MOL-PER-M2
?mol mol-1,MOL-PER-MOL
month from Jan1st,MO
mo,MO
month,MO
months,MO
MPa,MegaPA
m s-1,M-PER-SEC
mV,MilliV
no unit,UNITLESS
Pa,PA
%,PERCENT
% (?),PERCENT
%?,PERCENT
(%),PERCENT
% (100 * g g-1 ),PERCENT
% by wt,PERCENT
% field capacity,PERCENT
% full sun,PERCENT
mass%,PERCENT
% mass/mass,PERCENT
% of ECEC,PERCENT
%DM,PERCENT
% dry mass,PERCENT
%wt,PERCENT
percent,PERCENT
ppm,PPM
SLA cm2/g,CentiM2-PER-GM
umol m-2 s-1,MicroMOL-PER-M2-SEC
umol/m2/s,MicroMOL-PER-M2-SEC
umol mol-1 also the same as CO2 sample,MicroMOL-PER-MOL
umol mol-1,MicroMOL-PER-MOL
umol photons / m2 / sec,MicroMOL-PER-M2-SEC
1/g,PER-GM
1/kg,PER-KiloGM
1/lb,PER-LB
1/lb (lb~454g),PER-LB
"1/liter (liter~1,7kg)",PER-L
1/pound,PER-LB
W,W
(Wh m-2),W-HR-PER-M2
w/m2,W-PER-M2
W m-2,W-PER-M2
W/m2,W-PER-M2
year/month,YR/MO
years *see notes,YR
years,YR
Years,YR
year,YR
Year,YR
yrs,YR
yr,YR
y,YR
weeks,WK
day,DAY
days,DAY
(cm2/g)/100,CentiM2-PER-GM
cm2 g-1,CentiM2-PER-GM
(cm2 g-1),CentiM2-PER-GM
cm2*g-1,CentiM2-PER-GM
cm2.g-1,CentiM2-PER-GM
cm^2 g^-1,CentiM2-PER-GM
(cm2/g),CentiM2-PER-GM
cm2 / g,CentiM2-PER-GM
cm2/ g,CentiM2-PER-GM
cm2/g,CentiM2-PER-GM
cm^2/g,CentiM2-PER-GM
cm2/g (n.r.),CentiM2-PER-GM
cm3/g,CentiM3-PER-GM
cm3,CentiM3
(g/cm2),GM-PER-CentiM2
g cm-2,GM-PER-CentiM2
g/cm2,GM-PER-CentiM2
micro m,MicroM
micro mol m-2 s-1,MicroMOL-PER-M2-SEC
permil,PPTH
