origUnit,mapUnit
mm2 g-1,https://purl.org/emi/unit#mm2%20g-1
mm2/g,https://purl.org/emi/unit#mm2%20g-1
(mm2 mg-1)/10,https://purl.org/emi/unit#%28mm2%20mg-1%29%2F10
mm2  mg-1,https://purl.org/emi/unit#mm2%20mg-1
mm2 mg-1,https://purl.org/emi/unit#mm2%20mg-1
mm2 mg1,https://purl.org/emi/unit#mm2%20mg-1
mm2*mg-1,https://purl.org/emi/unit#mm2%20mg-1
mm2/mg-1,https://purl.org/emi/unit#mm2%20mg-1
mm2mg-1,https://purl.org/emi/unit#mm2%20mg-1
mm2 mgDM-1,https://purl.org/emi/unit#mm2%20mgDM-1
mm2 / mg,https://purl.org/emi/unit#mm2%20mg-1
mm2/mg,https://purl.org/emi/unit#mm2%20mg-1
mm^2/mg,https://purl.org/emi/unit#mm2%20mg-1
mm2Зmg-1,https://purl.org/emi/unit#mm2%20mg-1
mm/dd/yyyy,https://purl.org/emi/unit#mm%2Fdd%2Fyyyy
mm/mg,https://purl.org/emi/unit#mm%20mg-1
mm mm-1,https://purl.org/emi/unit#mm%20mm-1
mm/mm,https://purl.org/emi/unit#mm%20mm-1
mm/mmВ,https://purl.org/emi/unit#mm%2Fmm%D0%92
mm month-1,https://purl.org/emi/unit#mm%20month-1
mm/month,https://purl.org/emi/unit#mm%20month-1
mm.yyyy,https://purl.org/emi/unit#mm.yyyy
mmВ,https://purl.org/emi/unit#mmB
mmВ mg-1,https://purl.org/emi/unit#mmB%20mg-1
mmВ/mg,https://purl.org/emi/unit#mmB%20mg-1
mo,https://purl.org/emi/unit#mo
mol N/L,https://purl.org/emi/unit#mol%20N%2FL
mol photon m-2,https://purl.org/emi/unit#mol%20photon%20m-2
(mВ kg-1),https://purl.org/emi/unit#mB%20kg-1
mВ kg-1,https://purl.org/emi/unit#mB%20kg-1
mВ Kg-1,https://purl.org/emi/unit#mB%20kg-1
mВ/kg,https://purl.org/emi/unit#mB%20kg-1
N,https://purl.org/emi/unit#N
North,https://purl.org/emi/unit#North
Nreleased/acre,https://purl.org/emi/unit#Nreleased%2Facre
oC,https://purl.org/emi/unit#oC
permil,https://purl.org/emi/unit#permil
PST,https://purl.org/emi/unit#PST
S,https://purl.org/emi/unit#S
SM,https://purl.org/emi/unit#SM
spec/m2,https://purl.org/emi/unit#spec%2Fm2
stems ha-1,https://purl.org/emi/unit#stems%20ha-1
t,https://purl.org/emi/unit#t
t m3,https://purl.org/emi/unit#t%20m3
t/m3,https://purl.org/emi/unit#t%20m-3
trees ha-1,https://purl.org/emi/unit#trees%20ha-1
(uE m2 s-1),https://purl.org/emi/unit#uE%20m2%20s-1
ug N / g soil (6 weeks),https://purl.org/emi/unit#ug%20N%20%2F%20g%20soil%20%286%20weeks%29
ug N/g soil/year,https://purl.org/emi/unit#ug%20N%2Fg%20soil%2Fyear
units,https://purl.org/emi/unit#units
Units,https://purl.org/emi/unit#units
UTM Zone 16N,https://purl.org/emi/unit#UTM%20Zone%2016N
W7m2,https://purl.org/emi/unit#W7m2
weeks,https://purl.org/emi/unit#weeks
WGS84,https://purl.org/emi/unit#WGS84
"without petiole, mmВ/mg",https://purl.org/emi/unit#without%20petiole%2C%20mm%D0%92%2Fmg
%wt,https://purl.org/emi/unit#%25wt
xxА.yy' E,https://purl.org/emi/unit#xx%D0%90.yy%27%20E
xxА.yy' N,https://purl.org/emi/unit#xx%D0%90.yy%27%20N
yr-mo-dy,https://purl.org/emi/unit#yr-mo-dy
YYYY/MM/DD,https://purl.org/emi/unit#YYYY%2FMM%2FDD
yyyymmdd,https://purl.org/emi/unit#yyyymmdd
Еg mg-1,https://purl.org/emi/unit#%D0%95g%20mg-1
ЕScm-1,https://purl.org/emi/unit#%D0%95Scm-1
