sourceWD	sourceName	intxnName	targetWD	targetName	loc
<http://www.wikidata.org/entity/Q10401194>	"Adenostomocoris pintoi"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"NW of Springville on Balch Park Drive"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10417337>	"Arctorthezia occidentalis"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"Corte Madera Creek, near Stanford University"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10419459>	"Camissonia californica"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"Los Padres National Forest, North side of Hwy 33."^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10450269>	"Chlamydatus monilipes"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"NW of Springville on Wokohl Rd"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10465536>	"Dacerla mediospinosa"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"NW of Springville on Balch Park Drive"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10488118>	"Eriococcus uvaeursi"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"Permanente Creek"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10526123>	"Hoplomachidea consors"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"S of Tehachapi on Water Canyon Rd"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10536685>	"Irbisia limata"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"NE of Springville on Bear Creek Rd near Scicon"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10536685>	"Irbisia limata"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"NW of Springville on Balch Park Drive"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10569699>	"Lopidea fuscosa"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"S of Tehachapi on Water Canyon Rd"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10569711>	"Lopidea marginata"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"NW of Springville on Balch Park Drive"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10574927>	"Macrotylus tristis"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"NW of Springville on Wokohl Rd"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10607676>	"Oeclidius nanus"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"Mt Tamalpais, near reservoir"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10615095>	"Pagaronia tredecimpunctata"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"Puente Hills"^^<http://www.w3.org/2001/XMLSchema#string>
